seconds_since_start,round_number,action
0.8521252,1,Shot fired
2.8496447,1,Shot fired
4.334048,1,Shot fired
5.7354952,1,Shot fired
6.332855,1,Shot fired
6.8677551,1,Shot fired
7.3673312,1,Shot fired
7.9344046,1,Shot fired
8.486018,1,Shot fired
8.986416,1,Shot fired
9.5173993,1,Shot fired
10.0832224,1,Shot fired
16.3164215,1,Shot fired
16.3176827,1,Shot hit
17.3675748,1,Shot fired
17.3686274,1,Shot hit
19.4690193,1,Shot fired
19.4690193,1,Shot hit
20.4166631,1,Shot fired
20.4176596,1,Shot hit
21.617806,1,Shot fired
23.7512502,1,end round
