seconds_since_start,round_number,action
1.9955733,1,Shot fired
4.0732606,1,Shot fired
4.0732606,1,Shot hit
4.9246498,1,Shot fired
4.926674,1,Shot hit
6.4407865,1,Shot fired
6.4417858,1,Shot hit
7.5736931,1,Shot fired
7.5736931,1,Shot hit
8.5567046,1,Shot fired
8.5577045,1,Shot hit
9.3899237,1,Shot fired
12.1234842,1,Shot fired
13.073767,1,Shot fired
13.9897556,1,Shot fired
14.7067955,1,Shot fired
15.5394429,1,Shot fired
15.9898848,1,Shot fired
16.7727505,1,Shot fired
17.1069225,1,Shot fired
17.4568873,1,Shot fired
17.8228033,1,Shot fired
18.173356,1,Shot fired
19.2903249,1,Shot fired
19.9072828,1,Shot fired
20.224478,1,Shot fired
20.9575371,1,Shot fired
21.7568939,1,Shot fired
22.3401369,1,Shot fired
22.9910187,1,Shot fired
23.9068176,1,Shot fired
